id,titulo,autor,siglo,texto_limpio,tokens_utiles
1,Soneto,Juan Antonio Garcés,15-17,donde sanson esta la fortaleza con que heroico la fama te eterniza donde la ciencia di que te autoriza escoger salomon a tu grandeza donde david oculta tu nobleza aquella santidad que te entroniza si cuando mas el bronce solemniza os desdora el borron de la pureza mas si a francisco bien he contemplado apagar el ardor que os ha vencido con el bello coral que ha derramado aun mas triunfante cuanto mas dormido en el para su gloria aventajado esta lo fuerte santo y entendido,donde sanson esta fortaleza heroico fama te eterniza donde ciencia di te autoriza escoger salomon tu grandeza donde david oculta tu nobleza aquella santidad te entroniza si cuando bronce solemniza os desdora borron pureza si francisco bien he contemplado apagar ardor os ha vencido bello coral ha derramado aun triunfante cuanto dormido gloria aventajado esta fuerte santo entendido
2,- LI -,Juan de Arguijo,15-17,cuando en horror medroso y ciego espanto por los teucros discurre alecto airada y el impio acero de la griega espada hace crecer con frigia sangre el janto entre las quejas y confuso llanto de la misera gente descuidada alza la voz casandra arrebatada de profetico aliento y furor santo en tus cenizas dice oh patria cara se guarda el fuego cuya llama ardiente hara costosa a grecia esta victoria otra renacera de ti mas clara troya por quien tu nombre eternamente vuelva a vivir en mas dichosa historia,cuando horror medroso ciego espanto teucros discurre alecto airada impio acero griega espada hace crecer frigia sangre janto entre quejas confuso llanto misera gente descuidada alza voz casandra arrebatada profetico aliento furor santo tus cenizas dice oh patria cara guarda fuego cuya llama ardiente hara costosa grecia esta victoria otra renacera ti clara troya quien tu nombre eternamente vuelva vivir dichosa historia
3,Soneto,Miguel de Barrios,15-17,el primer hombre fui que por dios hecho le semeje de todo cifra hermosa y con gratitud al cielo odiosa el quererme hacer grande me ha deshecho domine el mundo a mi altivez estrecho y por comer la fruta venenosa de la muerte en la carcel espantosa me viene grande el mas pequeno trecho denomineme de adama que tierra denota adan que es hombre por tal modo que he vuelto a mi materia inanimada lo que esta losa hasta mi nombre encierra cuando adan fue pensaba que era todo y leido al contrario ya soy nada,primer hombre fui dios hecho le semeje todo cifra hermosa gratitud cielo odiosa quererme hacer grande me ha deshecho domine mundo mi altivez estrecho comer fruta venenosa muerte carcel espantosa me viene grande pequeno trecho denomineme adama tierra denota adan hombre tal modo he vuelto mi materia inanimada esta losa hasta mi nombre encierra cuando adan pensaba era todo leido contrario ya soy nada
4,- XLV -,Juan de Arguijo,15-17,este soberbio monte y levantada cumbre ciudad un tiempo hoy sepultura de la grandeza cuya fama dura contra la fuerza de la suerte airada ejemplo cierto fue en la edad pasada y sera fiel testigo a la futura del fin que ha de tener la mas segura pujanza vanamente confiada mas en tanta ruina nueva gloria no os pudo fallecer oh celebrados de la antigua cartago ilustres muros que mucho mas crecio vuestra memoria porque fuisteis del tiempo derribados que si permanecierades seguros,este soberbio monte levantada cumbre ciudad tiempo hoy sepultura grandeza cuya fama dura contra fuerza suerte airada ejemplo cierto edad pasada sera fiel testigo futura fin ha tener segura pujanza vanamente confiada tanta ruina nueva gloria no os pudo fallecer oh celebrados antigua cartago ilustres muros mucho crecio vuestra memoria porque fuisteis tiempo derribados si permanecierades seguros
5,A la santa paciencia,Juan Francisco Andrés,15-17,del fuego abrasador la llama ardiente no examina en laurencio lo inflamado que el calor de las ascuas no ha quemado porque en su pecho incendio mayor siente la actividad de orencio no consiente que le refrie del cristal lo helado porque el hielo en pavesas transformado confiesa el vencimiento claramente laurencio se acredita de animoso en las llamas y orencio en los cristales rayos brilla el amor afectuoso que venzan elementos desiguales no es mucho cuando en parto prodigioso la paciencia les dio fuerzas iguales,fuego abrasador llama ardiente no examina laurencio inflamado calor ascuas no ha quemado porque pecho incendio mayor siente actividad orencio no consiente le refrie cristal helado porque hielo pavesas transformado confiesa vencimiento claramente laurencio acredita animoso llamas orencio cristales rayos brilla amor afectuoso venzan elementos desiguales no mucho cuando parto prodigioso paciencia les dio fuerzas iguales
6,A mi propio retrato,Álvaro Cubillo de Aragón,15-17,agradece al pincel oh sombra vana tanto esplendor que a breve lienzo fia exento a la cobarde valentia de aquel que huyendo mi verdor profana hoy me parezco a ti mas no manana dichoso tu que naces cada dia y el tiempo no podra con su porfia poner en ti una arruga ni una cana dichoso tu que el curso fugitivo de su veloz carrera despreciando siglos apuestas a vivir no vivo y sin ventura yo que siempre dando cada paso a la muerte soy cautivo que se no vivo y muero no se cuando,agradece pincel oh sombra vana tanto esplendor breve lienzo fia exento cobarde valentia aquel huyendo mi verdor profana hoy me parezco ti no manana dichoso tu naces cada dia tiempo no podra porfia poner ti arruga ni cana dichoso tu curso fugitivo veloz carrera despreciando siglos apuestas vivir no vivo ventura yo siempre dando cada paso muerte soy cautivo no vivo muero no cuando
7,- VI -,Juan de Arguijo,15-17,julia si de la parca el furor ciego permitiera en tu vida mas tardanza no viera roma en su mayor pujanza de las guerras domesticas el fuego que semejante en el piadoso ruego a las sabinas la furiosa lanza redujeras repuesta la venganza a paz alegre y a comun sosiego al detenido dano y armas fieras tu acelerada muerte abrio camino rota la fe que violentada estaba tu sola el istmo de estas ondas eras mas acabo la fuerza del destino vida que tantas muertes excusaba,julia si parca furor ciego permitiera tu vida tardanza no viera roma mayor pujanza guerras domesticas fuego semejante piadoso ruego sabinas furiosa lanza redujeras repuesta venganza paz alegre comun sosiego detenido dano armas fieras tu acelerada muerte abrio camino rota fe violentada estaba tu sola istmo estas ondas eras acabo fuerza destino vida tantas muertes excusaba
8,A la muerte para mejor vida del doctor Juan Pérez de Montalbán,Pedro Jerónimo Mancebo de Velasco,15-17,esta luz que en los terminos fatales amenazada del horror parece que en resplandores tremulos fenece luchando con las sombras funerales en farol que de solidos metales la piedra le construye permanece exenta al comun soplo que oscurece tanto vital ardor de hachas mortales atenta aqui la parca cuando fiera extinguir suele toda luz viviente midio el golpe fatal de su tijera corto avivando con que mas luciente quedo la llama que a la vez primera cuanto va de caduca permanente,esta luz terminos fatales amenazada horror parece resplandores tremulos fenece luchando sombras funerales farol solidos metales piedra le construye permanece exenta comun soplo oscurece tanto vital ardor hachas mortales atenta aqui parca cuando fiera extinguir suele toda luz viviente midio golpe fatal tijera corto avivando luciente quedo llama vez primera cuanto va caduca permanente
9,A Arión Músico,Juan de Arguijo,15-17,mientras llevado de un delfin piadoso corta arion el mar suspende el viento y las agua enfrena el blando acento de la citara y canto artificioso las nereidas dejando el espumoso albergue al dulce son de su instrumento tejen en concertado movimiento festivo coro en el teatro ondoso tetis nereo y doris con espanto oyeron su armonia ni faltaste grande neptuno y tu glauco saliste oh fuerza ilustre del suave canto si la fiera codicia no ablandaste ondas vientos delfin dioses venciste,mientras llevado delfin piadoso corta arion mar suspende viento agua enfrena blando acento citara canto artificioso nereidas dejando espumoso albergue dulce son instrumento tejen concertado movimiento festivo coro teatro ondoso tetis nereo doris espanto oyeron armonia ni faltaste grande neptuno tu glauco saliste oh fuerza ilustre suave canto si fiera codicia no ablandaste ondas vientos delfin dioses venciste
10,Soneto,Diego Gonzalo,15-17,espana tuvo el mas felice dia y temio espana el mas sangriento estrago poblo el contento todo el viento vago borro el pesar la luz de la alegria nacio felipe prospero y debia que el reino le esperaba con halago costo su nacimiento duro halago que en su madre temio la monarquia espana el parabien te da dos veces pues mariana que tanto a deseado del riesgo en que saliste con mas gloria con que te da el aplauso que mereces porque anade valor al triunfo osado quien se arriesga despues de la victoria,espana tuvo felice dia temio espana sangriento estrago poblo contento todo viento vago borro pesar luz alegria nacio felipe prospero debia reino le esperaba halago costo nacimiento duro halago madre temio monarquia espana parabien te da dos veces pues mariana tanto deseado riesgo saliste gloria te da aplauso mereces porque anade valor triunfo osado quien arriesga despues victoria
