id,titulo,autor,siglo,tokens_utiles
1,Soneto,Juan Antonio Garcés,15-17,donde sanson esta fortaleza heroico fama te eterniza donde ciencia di te autoriza escoger salomon tu grandeza donde david oculta tu nobleza aquella santidad te entroniza si cuando bronce solemniza os desdora borron pureza si francisco bien he contemplado apagar ardor os ha vencido bello coral ha derramado aun triunfante cuanto dormido gloria aventajado esta fuerte santo entendido
2,- LI -,Juan de Arguijo,15-17,cuando horror medroso ciego espanto teucros discurre alecto airada impio acero griega espada hace crecer frigia sangre janto entre quejas confuso llanto misera gente descuidada alza voz casandra arrebatada profetico aliento furor santo tus cenizas dice oh patria cara guarda fuego cuya llama ardiente hara costosa grecia esta victoria otra renacera ti clara troya quien tu nombre eternamente vuelva vivir dichosa historia
3,Soneto,Miguel de Barrios,15-17,primer hombre fui dios hecho le semeje todo cifra hermosa gratitud cielo odiosa quererme hacer grande me ha deshecho domine mundo mi altivez estrecho comer fruta venenosa muerte carcel espantosa me viene grande pequeno trecho denomineme adama tierra denota adan hombre tal modo he vuelto mi materia inanimada esta losa hasta mi nombre encierra cuando adan pensaba era todo leido contrario ya soy nada
4,- XLV -,Juan de Arguijo,15-17,este soberbio monte levantada cumbre ciudad tiempo hoy sepultura grandeza cuya fama dura contra fuerza suerte airada ejemplo cierto edad pasada sera fiel testigo futura fin ha tener segura pujanza vanamente confiada tanta ruina nueva gloria no os pudo fallecer oh celebrados antigua cartago ilustres muros mucho crecio vuestra memoria porque fuisteis tiempo derribados si permanecierades seguros
5,A la santa paciencia,Juan Francisco Andrés,15-17,fuego abrasador llama ardiente no examina laurencio inflamado calor ascuas no ha quemado porque pecho incendio mayor siente actividad orencio no consiente le refrie cristal helado porque hielo pavesas transformado confiesa vencimiento claramente laurencio acredita animoso llamas orencio cristales rayos brilla amor afectuoso venzan elementos desiguales no mucho cuando parto prodigioso paciencia les dio fuerzas iguales
6,A mi propio retrato,Álvaro Cubillo de Aragón,15-17,agradece pincel oh sombra vana tanto esplendor breve lienzo fia exento cobarde valentia aquel huyendo mi verdor profana hoy me parezco ti no manana dichoso tu naces cada dia tiempo no podra porfia poner ti arruga ni cana dichoso tu curso fugitivo veloz carrera despreciando siglos apuestas vivir no vivo ventura yo siempre dando cada paso muerte soy cautivo no vivo muero no cuando
7,- VI -,Juan de Arguijo,15-17,julia si parca furor ciego permitiera tu vida tardanza no viera roma mayor pujanza guerras domesticas fuego semejante piadoso ruego sabinas furiosa lanza redujeras repuesta venganza paz alegre comun sosiego detenido dano armas fieras tu acelerada muerte abrio camino rota fe violentada estaba tu sola istmo estas ondas eras acabo fuerza destino vida tantas muertes excusaba
8,A la muerte para mejor vida del doctor Juan Pérez de Montalbán,Pedro Jerónimo Mancebo de Velasco,15-17,esta luz terminos fatales amenazada horror parece resplandores tremulos fenece luchando sombras funerales farol solidos metales piedra le construye permanece exenta comun soplo oscurece tanto vital ardor hachas mortales atenta aqui parca cuando fiera extinguir suele toda luz viviente midio golpe fatal tijera corto avivando luciente quedo llama vez primera cuanto va caduca permanente
9,A Arión Músico,Juan de Arguijo,15-17,mientras llevado delfin piadoso corta arion mar suspende viento agua enfrena blando acento citara canto artificioso nereidas dejando espumoso albergue dulce son instrumento tejen concertado movimiento festivo coro teatro ondoso tetis nereo doris espanto oyeron armonia ni faltaste grande neptuno tu glauco saliste oh fuerza ilustre suave canto si fiera codicia no ablandaste ondas vientos delfin dioses venciste
10,Soneto,Diego Gonzalo,15-17,espana tuvo felice dia temio espana sangriento estrago poblo contento todo viento vago borro pesar luz alegria nacio felipe prospero debia reino le esperaba halago costo nacimiento duro halago madre temio monarquia espana parabien te da dos veces pues mariana tanto deseado riesgo saliste gloria te da aplauso mereces porque anade valor triunfo osado quien arriesga despues victoria
