title,author,century,text,etiqueta
Soneto,Juan Antonio Garcés,15-17,dondesansonestafortalezaheroicofamateeternizadondecienciaditeautorizaescogersalomontugrandezadondedavidocultatunoblezaaquellasantidadteentronizasicuandobroncesolemnizaosdesdoraborronpurezasifranciscobienhecontempladoapagarardoroshavencidobellocoralhaderramadoauntriunfantecuantodormidogloriaaventajadoestafuertesantoentendido,Religioso Mistico
- LI -,Juan de Arguijo,15-17,cuandohorrormedrosociegoespantoteucrosdiscurrealectoairadaimpioacerogriegaespadahacecrecerfrigiasangrejantoentrequejasconfusollantomiseragentedescuidadaalzavozcasandraarrebatadaprofeticoalientofurorsantotuscenizasdiceohpatriacaraguardafuegocuyallamaardienteharacostosagreciaestavictoriaotrarenaceraticlaratroyaquientunombreeternamentevuelvavivirdichosahistoria,Religioso Mistico
Soneto,Miguel de Barrios,15-17,primerhombrefuidioshecholesemejetodocifrahermosagratitudcieloodiosaquerermehacergrandemehadeshechodominemundomialtivezestrechocomerfrutavenenosamuertecarcelespantosamevienegrandepequenotrechodenominemeadamatierradenotaadanhombretalmodohevueltomimateriainanimadaestalosahastaminombreencierracuandoadanpensabaeratodoleidocontrarioyasoynada,Religioso Mistico
- XLV -,Juan de Arguijo,15-17,estesoberbiomontelevantadacumbreciudadtiempohoysepulturagrandezacuyafamaduracontrafuerzasuerteairadaejemplociertoedadpasadaserafieltestigofuturafinhatenersegurapujanzavanamenteconfiadatantaruinanuevaglorianoospudofallecerohcelebradosantiguacartagoilustresmurosmuchocreciovuestramemoriaporquefuisteistiempoderribadossipermanecieradesseguros,Melancolico
A la santa paciencia,Juan Francisco Andrés,15-17,fuegoabrasadorllamaardientenoexaminalaurencioinflamadocalorascuasnohaquemadoporquepechoincendiomayorsienteactividadorencionoconsientelerefriecristalheladoporquehielopavesastransformadoconfiesavencimientoclaramentelaurencioacreditaanimosollamasorenciocristalesrayosbrillaamorafectuosovenzanelementosdesigualesnomuchocuandopartoprodigiosopaciencialesdiofuerzasiguales,Religioso Mistico
A mi propio retrato,Álvaro Cubillo de Aragón,15-17,agradecepincelohsombravanatantoesplendorbrevelienzofiaexentocobardevalentiaaquelhuyendomiverdorprofanahoymeparezcotinomananadichosotunacescadadiatiemponopodraporfiaponertiarruganicanadichosotucursofugitivovelozcarreradespreciandosiglosapuestasvivirnovivoventurayosiempredandocadapasomuertesoycautivonovivomueronocuando,Melancolico
- VI -,Juan de Arguijo,15-17,juliasiparcafurorciegopermitieratuvidatardanzanovieraromamayorpujanzaguerrasdomesticasfuegosemejantepiadosoruegosabinasfuriosalanzaredujerasrepuestavenganzapazalegrecomunsosiegodetenidodanoarmasfierastuaceleradamuerteabriocaminorotafeviolentadaestabatusolaistmoestasondaserasacabofuerzadestinovidatantasmuertesexcusaba,Religioso Mistico
A la muerte para mejor vida del doctor Juan Pérez de Montalbán,Pedro Jerónimo Mancebo de Velasco,15-17,estaluzterminosfatalesamenazadahorrorpareceresplandorestremulosfeneceluchandosombrasfuneralesfarolsolidosmetalespiedraleconstruyepermaneceexentacomunsoplooscurecetantovitalardorhachasmortalesatentaaquiparcacuandofieraextinguirsueletodaluzvivientemidiogolpefataltijeracortoavivandolucientequedollamavezprimeracuantovacaducapermanente,Religioso Mistico
A Arión Músico,Juan de Arguijo,15-17,mientrasllevadodelfinpiadosocortaarionmarsuspendevientoaguaenfrenablandoacentocitaracantoartificiosonereidasdejandoespumosoalberguedulcesoninstrumentotejenconcertadomovimientofestivocoroteatroondosotetisnereodorisespantooyeronarmonianifaltastegrandeneptunotuglaucosalisteohfuerzailustresuavecantosifieracodicianoablandasteondasvientosdelfindiosesvenciste,Religioso Mistico
Soneto,Diego Gonzalo,15-17,espanatuvofelicediatemioespanasangrientoestragopoblocontentotodovientovagoborropesarluzalegrianaciofelipeprosperodebiareinoleesperabahalagocostonacimientodurohalagomadretemiomonarquiaespanaparabientedadosvecespuesmarianatantodeseadoriesgosalistegloriatedaaplausomerecesporqueanadevalortriunfoosadoquienarriesgadespuesvictoria,Religioso Mistico
- XXXVI -,Juan de Arguijo,15-17,despuestiernollantodesordenacitereavozviolentofinadonistristeacentobosqueidaliodolorresuenafloracantoazucenahermosuratruecamiserosangrientojovenmoderagravesentimientoimpetulagrimasenfrenanohallandotristezamediovuelveusadoornatorefloreceyaserenorostroluzpuraasipesarrazondecrecedesesperadobientalvezcuragrandemalfaltaremedio,Heroico
